"","player","i","pos","age","tm","g","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp"
"1","A.C. Green",1990,"PF",26,"LAL",82,33,4.7,9.8,0.478,0.2,0.6,0.283,4.5,9.3,0.489,0.486,3.4,4.5,0.751,3.2,5.5,8.7,1.1,0.8,0.6,1.4,2.5,12.9,2709,14.7,0.548,0.057,0.459,11.5,18.4,4.6,1.2,1.1,10.7,17.1,4.4,3.3,7.7,0.137,0.3,0,1.6
"2","Adrian Dantley",1980,"SF",23,"UTA",68,39.3,10.7,18.6,0.576,0,0,0,10.7,18.6,0.577,0.576,6.5,7.7,0.842,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,28,2674,24.3,0.635,0.002,0.415,8.3,14,12.3,1.8,0.3,13.5,27.8,9.5,1.1,10.5,0.189,5.6,-1.9,3.8
"3","Adrian Dantley",1981,"SF",24,"UTA",80,42.7,11.4,20.3,0.559,0,0.1,0.286,11.3,20.3,0.56,0.559,7.9,9.8,0.806,2.4,4,6.4,4,1.4,0.2,3.5,3.1,30.7,3417,24.3,0.622,0.004,0.482,6.5,10.5,16.3,1.6,0.3,12.5,28.4,12.3,1.3,13.6,0.191,6.4,-1.8,5.7
"4","Adrian Dantley",1982,"SF",25,"UTA",81,39.8,11.2,19.6,0.57,0,0,0.333,11.1,19.5,0.57,0.57,8,10.1,0.792,2.9,3.5,6.4,4,1.2,0.2,3.7,3.1,30.3,3222,24.2,0.631,0.002,0.516,7.6,9.6,15.5,1.4,0.2,13.3,27.9,11.9,0.7,12.6,0.187,6.6,-2,5.3
"5","Adrian Dantley",1984,"SF",27,"UTA",79,37.8,10.2,18.2,0.558,0,0.1,0.25,10.1,18.2,0.559,0.558,10.3,12,0.859,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,30.6,2984,24.6,0.652,0.003,0.658,6.7,9,16.2,0.9,0.1,12.4,28.2,13,1.6,14.6,0.235,6.6,-2.2,4.8
"6","Adrian Dantley",1985,"SF",28,"UTA",55,35.8,9.3,17.5,0.531,0,0,0,9.3,17.5,0.531,0.531,8,9.9,0.804,2.7,3.2,5.9,3.4,1,0.1,3.1,2.4,26.6,1971,21.9,0.607,0,0.565,8,9,15.2,1.3,0.2,12.4,27.7,5.6,2.3,8,0.194,4.5,-0.6,3
"7","Adrian Dantley",1986,"SF",29,"UTA",76,36.1,10.8,19.1,0.563,0,0.1,0.091,10.8,19,0.567,0.563,8.3,10.5,0.791,2.3,2.9,5.2,3.5,0.8,0.1,3,2.7,29.8,2744,24.6,0.629,0.008,0.548,7.2,8.5,16.7,1.1,0.1,11.4,30,10.4,2.3,12.8,0.223,6.7,-1.7,4.8
"8","Al Horford",2010,"C",23,"ATL",81,35.1,5.8,10.5,0.551,0,0,1,5.8,10.4,0.551,0.552,2.6,3.3,0.789,2.9,7,9.9,2.3,0.7,1.1,1.5,2.8,14.2,2845,19.4,0.594,0.001,0.319,9.6,23.3,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.5,1.9,3.8
"9","Al Horford",2011,"C",24,"ATL",77,35.1,6.7,12,0.557,0,0.1,0.5,6.6,11.9,0.557,0.558,1.9,2.4,0.798,2.4,7,9.4,3.5,0.8,1,1.5,2.5,15.3,2704,20.7,0.587,0.004,0.204,8.2,23.7,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2,2.4,4.4
"10","Al Horford",2015,"C",28,"ATL",76,30.5,6.8,12.7,0.538,0.1,0.5,0.306,6.7,12.2,0.547,0.544,1.4,1.9,0.759,1.7,5.4,7.1,3.2,0.9,1.3,1.3,1.6,15.2,2318,21.4,0.563,0.037,0.146,6.7,19.8,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,1.3,2.5,3.4
