"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","RushAtt","RushYds","RushLong","RushTDs","Receptions","RecYds","RecLong","RecTDs","FumLost"
"Kareem Hunt","RB","KC",1,"09/07","NE",0,"W","42-27",1,1,17,148,"58",1,5,98,"78T",2,1
"Kareem Hunt","RB","KC",2,"09/17","PHI",1,"W","27-20",1,1,13,81,"53T",2,3,28,"16",0,0
"Kareem Hunt","RB","KC",3,"09/24","LAC",0,"W","24-10",1,1,17,172,"69T",1,1,11,"11",0,0
"Kareem Hunt","RB","KC",4,"10/02","WAS",1,"W","29-20",1,1,21,101,"17",0,4,20,"10",0,0
"Kareem Hunt","RB","KC",5,"10/08","HOU",0,"W","42-34",1,1,29,107,"23",0,3,9,"10",0,0
"Kareem Hunt","RB","KC",6,"10/15","PIT",1,"L","13-19",1,1,9,21,"5",0,5,89,"37",0,0
"Kareem Hunt","RB","KC",7,"10/19","OAK",0,"L","30-31",1,1,18,87,"34",0,4,30,"13",0,0
"Kareem Hunt","RB","KC",8,"10/30","DEN",1,"W","29-19",1,1,22,46,"15",0,3,22,"12",0,0
"Kareem Hunt","RB","KC",9,"11/05","DAL",0,"L","17-28",1,1,9,37,"19",0,4,24,"11",0,0
"Kareem Hunt","RB","KC",11,"11/19","NYG",0,"L","9-12",1,1,18,73,"12",0,3,4,"2",0,0
"Kareem Hunt","RB","KC",12,"11/26","BUF",1,"L","10-16",1,1,11,17,"9",0,1,9,"9",0,0
"Kareem Hunt","RB","KC",13,"12/03","NYJ",0,"L","31-38",1,1,9,40,"14",0,3,23,"12",0,0
"Kareem Hunt","RB","KC",14,"12/10","OAK",1,"W","26-15",1,1,25,116,"17",1,3,22,"11",0,0
"Kareem Hunt","RB","KC",15,"12/16","LAC",1,"W","30-13",1,1,24,155,"23",1,7,51,"21",1,0
"Kareem Hunt","RB","KC",16,"12/24","MIA",1,"W","29-13",1,1,29,91,"24",1,4,15,"7",0,0
"Kareem Hunt","RB","KC",17,"12/31","DEN",0,"W","27-24",1,1,1,35,"35T",1,0,0,"0",0,0
"Todd Gurley","RB","LA",1,"09/10","IND",1,"W","46-9",1,1,19,40,"12",1,5,56,"23",0,0
"Todd Gurley","RB","LA",2,"09/17","WAS",1,"L","20-27",1,1,16,88,"18",1,3,48,"28",1,1
"Todd Gurley","RB","LA",3,"09/21","SF",0,"W","41-39",1,1,28,113,"29",2,5,36,"27",1,0
"Todd Gurley","RB","LA",4,"10/01","DAL",0,"W","35-30",1,1,23,121,"17",0,7,94,"53T",1,0
"Todd Gurley","RB","LA",5,"10/08","SEA",1,"L","10-16",1,1,14,43,"11",0,2,7,"6",0,1
"Todd Gurley","RB","LA",6,"10/15","JAX",0,"W","27-17",1,1,23,116,"14",0,1,4,"4",0,0
