"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","Receptions","RecYds","RecLong","RecTDs","RushAtt","RushYds","RushLong","RushTDs","FumLost"
"Antonio Brown","WR","PIT",1,"09/10","CLE",0,"W","21-18",1,1,11,182,"50",0,0,0,"0",0,0
"Antonio Brown","WR","PIT",2,"09/17","MIN",1,"W","26-9",1,1,5,62,"26",0,0,0,"0",0,0
"Antonio Brown","WR","PIT",3,"09/24","CHI",0,"L","17-23",1,1,10,110,"23",1,0,0,"0",0,0
"Antonio Brown","WR","PIT",4,"10/01","BAL",0,"W","26-9",1,1,4,34,"14",0,0,0,"0",0,0
"Antonio Brown","WR","PIT",5,"10/08","JAX",1,"L","9-30",1,1,10,157,"49",0,0,0,"0",0,0
"Antonio Brown","WR","PIT",6,"10/15","KC",0,"W","19-13",1,1,8,155,"51T",1,0,0,"0",0,0
"Antonio Brown","WR","PIT",7,"10/22","CIN",1,"W","29-14",1,1,4,65,"23",1,0,0,"0",0,0
"Antonio Brown","WR","PIT",8,"10/29","DET",0,"W","20-15",1,1,5,70,"40",0,0,0,"0",0,0
"Antonio Brown","WR","PIT",10,"11/12","IND",0,"W","20-17",1,1,3,47,"32",0,0,0,"0",0,0
"Antonio Brown","WR","PIT",11,"11/16","TEN",1,"W","40-17",1,1,10,144,"41T",3,0,0,"0",0,0
"Antonio Brown","WR","PIT",12,"11/26","GB",1,"W","31-28",1,1,10,169,"39",2,0,0,"0",0,0
"Antonio Brown","WR","PIT",13,"12/04","CIN",0,"W","23-20",1,1,8,101,"24",1,0,0,"0",0,0
"Antonio Brown","WR","PIT",14,"12/10","BAL",1,"W","39-38",1,1,11,213,"57",0,0,0,"0",0,0
"Antonio Brown","WR","PIT",15,"12/17","NE",1,"L","24-27",1,1,2,24,"19",0,0,0,"0",0,0
"Julio Jones","WR","ATL",1,"09/10","CHI",0,"W","23-17",1,1,4,66,"25",0,0,0,"0",0,0
"Julio Jones","WR","ATL",2,"09/17","GB",1,"W","34-23",1,1,5,108,"34",0,0,0,"0",0,0
"Julio Jones","WR","ATL",3,"09/24","DET",0,"W","30-26",1,1,7,91,"18",0,0,0,"0",0,0
"Julio Jones","WR","ATL",4,"10/01","BUF",1,"L","17-23",1,1,3,30,"16",0,0,0,"0",0,0
"Julio Jones","WR","ATL",6,"10/15","MIA",1,"L","17-20",1,1,6,72,"18",0,0,0,"0",0,0
"Julio Jones","WR","ATL",7,"10/22","NE",0,"L","7-23",1,1,9,99,"16",1,0,0,"0",0,0
"Julio Jones","WR","ATL",8,"10/29","NYJ",0,"W","25-20",1,1,3,74,"53",0,0,0,"0",0,0
"Julio Jones","WR","ATL",9,"11/05","CAR",0,"L","17-20",1,1,6,118,"34",0,0,0,"0",0,0
"Julio Jones","WR","ATL",10,"11/12","DAL",1,"W","27-7",1,1,6,57,"24",0,0,0,"0",0,0
"Julio Jones","WR","ATL",11,"11/20","SEA",0,"W","34-31",1,1,5,71,"29",0,0,0,"0",0,0
"Julio Jones","WR","ATL",12,"11/26","TB",1,"W","34-20",1,1,12,253,"51T",2,1,15,"15",0,0
"Julio Jones","WR","ATL",13,"12/03","MIN",1,"L","9-14",1,1,2,24,"13",0,0,0,"0",0,0
"Julio Jones","WR","ATL",14,"12/07","NO",1,"W","20-17",1,1,5,98,"38",0,0,0,"0",0,0
"Julio Jones","WR","ATL",15,"12/18","TB",0,"W","24-21",1,1,3,54,"29",0,0,0,"0",0,0
"Julio Jones","WR","ATL",16,"12/24","NO",0,"L","13-23",1,1,7,149,"44",0,0,0,"0",0,0
"Julio Jones","WR","ATL",17,"12/31","CAR",1,"W","22-10",1,1,5,80,"27",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",1,"09/11","DEN",0,"L","21-24",1,1,5,35,"9",1,0,0,"0",0,0
"Keenan Allen","WR","LAC",2,"09/17","MIA",1,"L","17-19",1,1,9,100,"24",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",3,"09/24","KC",1,"L","10-24",1,1,5,61,"17",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",4,"10/01","PHI",1,"L","24-26",1,1,5,138,"50",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",5,"10/08","NYG",0,"W","27-22",1,1,4,67,"18",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",6,"10/15","OAK",0,"W","17-16",1,1,5,45,"28",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",7,"10/22","DEN",1,"W","21-0",1,1,3,41,"19",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",8,"10/29","NE",0,"L","13-21",1,1,4,61,"18",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",10,"11/12","JAX",0,"L","17-20",1,1,4,48,"19",0,1,6,"6",0,0
"Keenan Allen","WR","LAC",11,"11/19","BUF",1,"W","54-24",1,1,12,159,"29",2,1,3,"3",0,0
"Keenan Allen","WR","LAC",12,"11/23","DAL",0,"W","28-6",1,1,11,172,"42T",1,0,0,"0",0,0
"Keenan Allen","WR","LAC",13,"12/03","CLE",1,"W","19-10",1,1,10,105,"26",1,0,0,"0",0,0
"Keenan Allen","WR","LAC",14,"12/10","WAS",1,"W","30-13",1,0,6,111,"51",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",15,"12/16","KC",0,"L","13-30",1,1,5,54,"15",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",16,"12/24","NYJ",0,"W","14-7",1,1,5,63,"20",0,0,0,"0",0,0
"Keenan Allen","WR","LAC",17,"12/31","OAK",1,"W","30-10",1,1,9,133,"28",1,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",1,"09/10","JAX",1,"L","7-29",1,1,7,55,"12",1,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",2,"09/14","CIN",0,"W","13-9",1,1,7,73,"25",0,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",3,"09/24","NE",0,"L","33-36",1,1,7,76,"21",0,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",4,"10/01","TEN",1,"W","57-14",1,1,10,107,"21",1,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",5,"10/08","KC",1,"L","34-42",1,1,4,52,"34T",3,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",6,"10/15","CLE",1,"W","33-17",1,1,2,19,"16",1,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",8,"10/29","SEA",0,"L","38-41",1,1,8,224,"72T",1,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",9,"11/05","IND",1,"L","14-20",1,1,6,86,"34T",1,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",10,"11/12","LA",0,"L","7-33",1,1,7,111,"36",0,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",11,"11/19","ARI",1,"W","31-21",1,1,4,76,"34",1,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",12,"11/27","BAL",0,"L","16-23",1,1,7,125,"39",0,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",13,"12/03","TEN",0,"L","13-24",1,1,8,80,"17",0,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",14,"12/10","SF",1,"L","16-26",1,1,11,149,"29T",2,0,0,"0",0,1
"DeAndre Hopkins","WR","HOU",15,"12/17","JAX",0,"L","7-45",1,1,4,80,"40",1,0,0,"0",0,0
"DeAndre Hopkins","WR","HOU",16,"12/25","PIT",1,"L","6-34",1,1,4,65,"38",1,0,0,"0",0,0
"Adam Thielen","WR","MIN",1,"09/11","NO",1,"W","29-19",1,1,9,157,"44",0,0,0,"0",0,0
"Adam Thielen","WR","MIN",2,"09/17","PIT",0,"L","9-26",1,1,5,44,"24",0,0,0,"0",0,1
"Adam Thielen","WR","MIN",3,"09/24","TB",1,"W","34-17",1,1,5,98,"45",0,0,0,"0",0,0
"Adam Thielen","WR","MIN",4,"10/01","DET",1,"L","7-14",1,1,5,59,"24",0,0,0,"0",0,1
"Adam Thielen","WR","MIN",5,"10/09","CHI",0,"W","20-17",1,1,5,34,"14",0,1,11,"11",0,0
"Adam Thielen","WR","MIN",6,"10/15","GB",1,"W","23-10",1,1,9,96,"23",0,0,0,"0",0,0
"Adam Thielen","WR","MIN",7,"10/22","BAL",1,"W","24-16",1,1,5,41,"14",0,0,0,"0",0,0
"Adam Thielen","WR","MIN",8,"10/29","CLE",0,"W","33-16",1,1,5,98,"25",1,0,0,"0",0,0
"Adam Thielen","WR","MIN",10,"11/12","WAS",0,"W","38-30",1,1,8,166,"49",1,0,0,"0",0,0
"Adam Thielen","WR","MIN",11,"11/19","LA",1,"W","24-7",1,1,6,123,"65T",1,0,0,"0",0,0
"Adam Thielen","WR","MIN",12,"11/23","DET",0,"W","30-23",1,1,8,89,"16",0,0,0,"0",0,0
"Adam Thielen","WR","MIN",13,"12/03","ATL",0,"W","14-9",1,1,4,51,"22",0,0,0,"0",0,0
"Adam Thielen","WR","MIN",14,"12/10","CAR",0,"L","24-31",1,1,6,105,"52T",1,0,0,"0",0,0
"Adam Thielen","WR","MIN",15,"12/17","CIN",1,"W","34-7",1,1,3,30,"21",0,0,0,"0",0,0
"Adam Thielen","WR","MIN",16,"12/23","GB",0,"W","16-0",1,1,2,24,"21",0,0,0,"0",0,0
"Adam Thielen","WR","MIN",17,"12/31","CHI",1,"W","23-10",1,1,6,61,"16",0,0,0,"0",0,0
"Michael Thomas","WR","NO",1,"09/11","MIN",0,"L","19-29",1,1,5,45,"14",0,0,0,"0",0,0
"Michael Thomas","WR","NO",2,"09/17","NE",1,"L","20-36",1,1,5,89,"33",0,0,0,"0",0,0
"Michael Thomas","WR","NO",3,"09/24","CAR",0,"W","34-13",1,1,7,87,"26",1,0,0,"0",0,0
"Michael Thomas","WR","NO",4,"10/01","MIA",0,"W","20-0",1,1,8,89,"30",1,0,0,"0",0,0
"Michael Thomas","WR","NO",6,"10/15","DET",1,"W","52-38",1,1,3,11,"5",0,0,0,"0",0,0
"Michael Thomas","WR","NO",7,"10/22","GB",0,"W","26-17",1,1,7,82,"21",0,0,0,"0",0,0
"Michael Thomas","WR","NO",8,"10/29","CHI",1,"W","20-12",1,0,7,77,"23",0,0,0,"0",0,0
"Michael Thomas","WR","NO",9,"11/05","TB",1,"W","30-10",1,1,8,65,"24",0,0,0,"0",0,0
"Michael Thomas","WR","NO",10,"11/12","BUF",0,"W","47-10",1,1,9,117,"28",0,0,0,"0",0,0
"Michael Thomas","WR","NO",11,"11/19","WAS",1,"W","34-31",1,0,6,91,"24",0,0,0,"0",0,0
"Michael Thomas","WR","NO",12,"11/26","LA",0,"L","20-26",1,1,5,52,"24",0,0,0,"0",0,0
"Michael Thomas","WR","NO",13,"12/03","CAR",1,"W","31-21",1,1,5,70,"32",1,0,0,"0",0,0
"Michael Thomas","WR","NO",14,"12/07","ATL",0,"L","17-20",1,1,10,117,"35",1,0,0,"0",0,0
"Michael Thomas","WR","NO",15,"12/17","NYJ",1,"W","31-19",1,1,9,93,"20",1,0,0,"0",0,0
"Michael Thomas","WR","NO",16,"12/24","ATL",1,"W","23-13",1,1,4,66,"27",0,0,0,"0",0,0
"Michael Thomas","WR","NO",17,"12/31","TB",0,"L","24-31",1,1,6,94,"43",0,0,0,"0",0,0
"Tyreek Hill","WR","KC",1,"09/07","NE",0,"W","42-27",1,0,7,133,"75T",1,2,5,"4",0,0
"Tyreek Hill","WR","KC",2,"09/17","PHI",1,"W","27-20",1,1,4,43,"18",0,1,6,"6",0,0
"Tyreek Hill","WR","KC",3,"09/24","LAC",0,"W","24-10",1,1,5,77,"30T",1,3,13,"9",0,0
"Tyreek Hill","WR","KC",4,"10/02","WAS",1,"W","29-20",1,1,5,35,"12",0,0,0,"0",0,0
"Tyreek Hill","WR","KC",5,"10/08","HOU",0,"W","42-34",1,1,4,68,"38",0,0,0,"0",0,0
"Tyreek Hill","WR","KC",6,"10/15","PIT",1,"L","13-19",1,1,5,34,"10",0,1,-9,"-9",0,0
"Tyreek Hill","WR","KC",7,"10/19","OAK",0,"L","30-31",1,0,6,125,"64T",1,2,7,"7",0,0
"Tyreek Hill","WR","KC",8,"10/30","DEN",1,"W","29-19",1,1,2,38,"25",0,0,0,"0",0,0
"Tyreek Hill","WR","KC",9,"11/05","DAL",0,"L","17-28",1,1,2,64,"56T",1,4,9,"12",0,0
